,Freq
so_RB,22
thing_NNS,14
go_VVG,12
n't_RB,12
people_NNS,11
really_RB,11
think_VVD,10
create_VV,8
do_VV,8
then_RB,8
make_VV,7
think_VVP,7
able_JJ,6
do_VVD,6
important_JJ,6
not_RB,6
there_RB,6
come_VVD,5
do_VVP,5
earth_NN,5
rocket_NN,5
show_VV,5
something_NN,5
SpaceX_NP,5
start_VVD,5
anything_NN,4
crazy_JJ,4
even_RB,4
financial_JJ,4
humanity_NN,4
Internet_NN,4
Mars_NP,4
need_VVP,4
other_JJ,4
run_VV,4
technology_NN,4
time_NNS,4
together_RB,4
want_VVP,4
way_NN,4
wrong_JJ,4
year_NNS,4
%_NN,3
about_RB,3
actually_RB,3
budget_NN,3
company_NN,3
consciousness_NN,3
e-mail_NP,3
electric_JJ,3
first_JJ,3
future_NN,3
get_VV,3
goal_NN,3
good_JJS,3
great_JJ,3
happen_VV,3
here_RB,3
life_NN,3
likely_JJ,3
long_JJ,3
money_NN,3
more_RBR,3
most_RBS,3
okay_JJ,3
order_NN,3
past_JJ,3
payment_NNS,3
PayPal_NP,3
Russia_NP,3
say_VV,3
say_VVD,3
service_NNS,3
States_NPS,3
Tesla_NP,3
thank_VV,3
thing_NN,3
think_VV,3
time_NN,3
tough_JJ,3
United_NP,3
advance_VV,2
advanced_JJ,2
affect_VVP,2
also_RB,2
always_RB,2
back_RB,2
basis_NN,2
become_VV,2
big_JJS,2
bring_VV,2
build_VVD,2
car_NN,2
car_NNS,2
century_NN,2
civilization_NN,2
come_VVG,2
conclusion_NN,2
conglomeration_NN,2
cool_JJ,2
difficult_JJ,2
do_VVZ,2
energy_NN,2
environment_NN,2
eventually_RB,2
everyone_NN,2
expand_VV,2
Falcon_NP,2
figure_VV,2
get_VVD,2
go_VVZ,2
granted_JJ,2
happen_VVD,2
idea_NN,2
impossible_JJ,2
impression_NN,2
increase_VV,2
initial_JJ,2
initially_RB,2
interested_JJ,2
know_VV,2
launch_NN,2
lesson_NNS,2
look_VV,2
low_JJ,2
magic_JJ,2
magic_NN,2
make_VVD,2
make_VVG,2
maybe_RB,2
model_NN,2
more_JJR,2
most_JJS,2
NASA_NP,2
never_RB,2
nuke_NNS,2
orbit_NN,2
part_NN,2
participate_VV,2
physical_NN,2
possible_JJ,2
