,Freq
people_NNS,18
always_RB,13
today_NN,12
do_VVP,11
want_VVP,10
not_RB,9
business_NN,8
life_NN,8
never_RB,8
say_VVP,8
China_NP,7
here_RB,7
successful_JJ,7
n't_RB,6
thing_NN,6
very_RB,6
young_JJ,6
believe_VVP,5
good_JJS,5
person_NN,5
so_RB,5
sure_JJ,5
think_VVP,5
time_NN,5
tomorrow_NN,5
world_NN,5
complain_VVP,4
day_NN,4
good_JJ,4
good_JJR,4
Hong_NP,4
Kong_NP,4
lot_NN,4
about_RB,3
also_RB,3
beautiful_JJ,3
chance_NN,3
change_NN,3
change_VV,3
change_VVG,3
change_VVP,3
convince_VV,3
dream_NNS,3
embrace_VV,3
give_VV,3
go_VV,3
husband_NN,3
Jack_NP,3
just_RB,3
know_VVP,3
mistake_NNS,3
most_JJS,3
much_RB,3
opportunity_NN,3
opportunity_NNS,3
persistence_NN,3
rich_JJ,3
say_VVD,3
story_NNS,3
success_NN,3
too_RB,3
try_VVP,3
want_VV,3
way_NN,3
year_NNS,3
yesterday_NN,3
Alibaba_NP,2
all_RB,2
avoid_VV,2
but_RB,2
degree_NN,2
ever_RB,2
failure_NN,2
fast_RB,2
father_NN,2
fill_VVP,2
fix_VV,2
get_VV,2
great_JJ,2
important_JJ,2
leader_NN,2
live_VV,2
love_VVP,2
make_VV,2
make_VVP,2
many_JJ,2
more_JJR,2
more_RBR,2
much_JJ,2
new_JJ,2
optimistic_JJ,2
other_JJ,2
parent_NNS,2
reason_NNS,2
respect_VVN,2
respected_JJ,2
robe_NN,2
roof_NN,2
same_JJ,2
share_VV,2
size_NN,2
smart_JJ,2
style_NN,2
sunshine_NN,2
take_VV,2
tell_VV,2
tell_VVD,2
thousand_NNS,2
time_NNS,2
well_RBR,2
wife_NN,2
able_JJ,1
absolutely_RB,1
achieve_VVD,1
add_VVZ,1
adopt_VVN,1
adventure_NN,1
advice_NN,1
advice_NNS,1
ago_RB,1
apartment_NN,1
ask_VVD,1
bachelor_NN,1
bad_JJ,1
being_NNS,1
Bill_NP,1
bitter_JJ,1
body_NN,1
book_NN,1
book_NNS,1
box_NN,1
build_VVP,1
change_NNS,1
change_VVN,1
Chinese_NP,1
chocolate_NN,1
city_NN,1
company_NN,1
company_NNS,1
complain_VV,1
criticism_NN,1
design_VVN,1
destroy_VV,1
device_NN,1
die_VVP,1
difficult_JJ,1
disaster_NNS,1
do_VV,1
do_VVD,1
dollar_NNS,1
dream_NN,1
dream_VVN,1
e-commerce_NP,1
early_JJ,1
easy_JJ,1
easy_JJS,1
enter_VVP,1
entrance_NN,1
European_NP,1
evening_NN,1
everybody_NN,1
examination_NNS,1
experience_NN,1
experience_VVD,1
experience_VVP,1
family_NN,1
Fastpass_NP,1
feel_VVP,1
find_VV,1
first_JJ,1
Forrest_NP,1
friend_NNS,1
future_NN,1
Gates_NP,1
get_VVD,1
give_VVP,1
good_NN,1
grandfather_NN,1
Gump_NP,1
guy_VVZ,1
happy_JJ,1
hard_JJ,1
hat_NN,1
heavier_RBR,1
heavy_JJR,1
help_VV,1
honor_NN,1
human_JJ,1
hundred_NNS,1
Internet_NN,1
kind_NN,1
later_RBR,1
learn_VV,1
learn_VVP,1
Lester_NP,1
lie_NN,1
listen_VV,1
live_JJ,1
love_VV,1
Ma_NP,1
make_VVD,1
meet_VV,1
Microsoft_NP,1
minute_NN,1
model_NN,1
most_RBS,1
Mott_NP,1
movie_NN,1
no_RB,1
nobody_NN,1
note_VV,1
number_NN,1
once_RB,1
only_RB,1
other_NNS,1
painful_JJ,1
percent_NN,1
persist_VVP,1
persistent_JJ,1
philosophy_NN,1
pick_VV,1
Ponemah_NP,1
prove_VVD,1
put_VV,1
rain_VVZ,1
reach_VVN,1
read_VV,1
read_VVP,1
real_RB,1
really_RB,1
respect_NN,1
rich_JJS,1
right_NN,1
right_RB,1
rope_NN,1
royal_JJ,1
saving_NNS,1
school_NNS,1
second_JJ,1
see_VV,1
shame_NN,1
shumphlett_NP,1
sometimes_RB,1
sorry_JJ,1
stand_VVG,1
start_VVD,1
start_VVP,1
still_RB,1
student_NNS,1
stuff_VV,1
suffer_VV,1
super_JJ,1
survive_VVD,1
survive_VVN,1
take_VVP,1
team_NN,1
that_RB,1
then_RB,1
there_RB,1
think_VVD,1
third_NN,1
together_RB,1
toilet_NN,1
Tong_NP,1
tough_JJ,1
tough_JJR,1
try_VV,1
UK_NP,1
um_NNS,1
unique_JJ,1
US_NP,1
value_NN,1
village_NN,1
wear_VV,1
wish_NN,1
wish_VVP,1
work_VVG,1
work_VVP,1
write_VV,1
wrong_JJ,1
