,Freq
world_NN,27
training_NN,19
day_NN,17
change_VV,16
n't_RB,14
not_RB,14
boat_NN,11
class_NN,10
just_RB,10
mud_NN,10
student_NNS,10
want_VVP,10
life_NN,9
people_NNS,9
time_NN,9
bed_NN,8
bell_NN,8
do_VV,8
do_VVP,8
everyone_NN,8
get_VV,8
little_JJ,8
seal_NN,8
away_RB,7
instructor_NNS,7
life_NNS,7
obstacle_NN,7
San_NP,7
ship_NN,7
so_RB,7
then_RB,7
circus_NN,6
ever_RB,6
find_VV,6
hour_NNS,6
make_VV,6
more_JJR,6
rope_NN,6
thing_NNS,6
well_RB,6
also_RB,5
American_NP,5
basic_JJ,5
cold_JJ,5
course_NN,5
do_VVD,5
end_NN,5
here_RB,5
long_JJ,5
man_NNS,5
Navy_NP,5
person_NN,5
remember_VVP,5
ring_VV,5
save_VVN,5
student_NN,5
task_NN,5
time_NNS,5
uniform_NN,5
week_NN,5
begin_VVD,4
circus_NNS,4
crew_NN,4
crew_NNS,4
Diego_NP,4
down_RB,4
fact_NN,4
fail_VV,4
first_JJ,4
forward_RB,4
great_JJ,4
help_VV,4
light_NN,4
list_NN,4
longer_RBR,4
matter_NN,4
never_RB,4
no_RB,4
other_JJ,4
paddle_VV,4
physical_JJ,4
quit_VV,4
SEAL_JJ,4
seem_VVD,4
shark_NNS,4
swim_NN,4
swim_NNS,4
way_NN,4
well_RBR,4
year_NNS,4
all_RB,3
always_RB,3
anything_NN,3
beach_NN,3
block_VVZ,3
body_NN,3
callisthenics_NNS,3
child_NNS,3
Clemente_NP,3
cookie_NN,3
coxswain_NN,3
dark_JJS,3
difficult_JJ,3
effort_NN,3
few_JJ,3
generation_NNS,3
give_VV,3
go_VV,3
good_JJS,3
guy_NNS,3
hand_NN,3
hard_JJ,3
head_NN,3
instead_RB,3
keel_NN,3
least_JJS,3
lesson_NNS,3
lot_NN,3
make_VVN,3
many_JJ,3
mean_VVD,3
meet_VV,3
mission_NN,3
moment_NN,3
moment_NNS,3
month_NNS,3
morning_NN,3
much_RB,3
next_JJ,3
night_NN,3
nothing_NN,3
only_RB,3
part_NN,3
power_NN,3
record_NN,3
right_RB,3
run_NNS,3
Seal_NP,3
several_JJ,3
shark_NN,3
soldier_NNS,3
something_NN,3
sometimes_RB,3
start_VVZ,3
strength_NN,3
sugar_NN,3
think_VVP,3
tower_NN,3
trainee_NNS,3
uniform_JJ,3
UT_NP,3
voice_NN,3
water_NN,3
wet_JJ,3
30-foot_JJ,2
about_RB,2
Afghanistan_NP,2
afraid_JJ,2
almost_RB,2
as_RB,2
back_RB,2
background_NN,2
become_VVD,2
begin_VVZ,2
belt_NN,2
big_JJ,2
break_VVN,2
buckle_VV,2
change_VVD,2
change_VVG,2
change_VVN,2
change_VVP,2
change_VVZ,2
coast_NN,2
cold_NN,2
commencement_NN,2
complete_VVD,2
complete_VVN,2
constant_JJ,2
constantly_RB,2
course_NNS,2
day_NNS,2
decision_NN,2
design_VVN,2
destination_NN,2
drop_VVN,2
easy_JJ,2
enemy_NN,2
entire_JJ,2
ethnic_JJ,2
even_RB,2
evening_NN,2
extra_JJ,2
failure_NN,2
far_RB,2
fatigue_NN,2
Flats_NP,2
flipper_NNS,2
folk_NNS,2
foot_NNS,2
freezing_NN,2
friend_NNS,2
generation_NN,2
get_VVD,2
go_VVG,2
good_JJ,2
good_JJR,2
graduate_VVG,2
ground_NN,2
guide_VV,2
happen_VV,2
hardship_NNS,2
hat_NN,2
Hell_JJ,2
high_JJ,2
hope_VVP,2
indeed_RB,2
inner_JJ,2
inspection_NN,2
know_VV,2
learn_VVN,2
lifetime_NN,2
make_VVD,2
make_VVG,2
man_NN,2
matter_VVZ,2
measure_VV,2
midnight_NN,2
mile_NNS,2
miserable_JJ,2
most_RBS,2
Mud_NP,2
munchkin_NN,2
obstacle_NNS,2
officer_NN,2
often_RB,2
over_RB,2
population_NN,2
pull_VVD,2
remember_VV,2
require_VVN,2
rest_NN,2
right_NN,2
run_VV,2
sand_NN,2
see_VV,2
simple_JJ,2
singing_NN,2
size_NN,2
sleep_NN,2
slide_NN,2
small_JJ,2
social_JJ,2
somehow_RB,2
someone_NN,2
song_NN,2
standard_NNS,2
start_VV,2
start_VVD,2
start_VVG,2
status_NN,2
still_RB,2
strong_JJR,2
struggle_NNS,2
succeed_VV,2
sun_NN,2
surf_NN,2
surfzone_NN,2
swim_VV,2
swim_VVP,2
take_VV,2
test_VV,2
thing_NN,2
Tijuana_NP,2
tiny_JJ,2
top_NN,2
tough_JJ,2
train_VVG,2
turn_VV,2
twice_RB,2
very_JJ,2
warrior_NNS,2
water_NNS,2
Wednesday_NP,2
will_NN,2
wind_NN,2
wrong_JJ,2
young_JJ,2
10-foot_JJ,1
200-foot-long_JJ,1
500-pound_JJ,1
accept_VV,1
accomplish_VVN,1
achievement_NN,1
acknowledge_VVG,1
act_NN,1
act_VV,1
additional_JJ,1
admit_VV,1
affect_VV,1
African_NP,1
alone_RB,1
ambient_JJ,1
ambush_NN,1
American_JJ,1
analytical_JJ,1
anyone_NN,1
anywhere_RB,1
apparent_JJ,1
apply_VV,1
approach_VVP,1
area_NN,1
Army_NP,1
Ask_NP,1
aspiring_JJ,1
assure_VV,1
assure_VVP,1
attack_NN,1
attack_NNS,1
average_JJ,1
Baghdad_NP,1
barbed_JJ,1
barracks_NN,1
Basic_NP,1
battle-hardened_JJ,1
bear_VV,1
become_VVG,1
before_RB,1
begin_VVG,1
between_RB,1
billion_NN,1
blanket_NN,1
bone-chilling_JJ,1
brass_NN,1
bravely_RB,1
break_VV,1
breed_VVG,1
brief_VV,1
bring_VVN,1
build_VVD,1
build_VVN,1
bully_NNS,1
California_NP,1
calisthenics_NN,1
call_VVD,1
calm_JJ,1
cargo_NN,1
center_NN,1
center_VVD,1
centerline_NN,1
century_NN,1
certainly_RB,1
challenge_NNS,1
challenge_VVN,1
challenging_JJ,1
chance_NN,1
chaos_NN,1
chatter_VVG,1
circle_VV,1
climb_VV,1
close-in_NP,1
clothe_VVN,1
clue_NN,1
colleague_NNS,1
color_NN,1
com_NN,1
come_VV,1
come_VVD,1
come_VVZ,1
comforting_JJ,1
commission_VVN,1
commit_VVN,1
compass_NN,1
complete_VV,1
compose_VVN,1
compound_NN,1
conduct_VV,1
confident_JJ,1
congratulation_NNS,1
consume_VVD,1
contain_VVD,1
core_NN,1
corner_NN,1
corner_NNS,1
Coronado_NP,1
count_NN,1
cover_NNS,1
cover_VVN,1
cram_VVN,1
crawl_NN,1
create_VVZ,1
crow_VVD,1
dangerous_JJ,1
darts_NN,1
dawn_NN,1
deafen_VVG,1
deal_VV,1
