,Freq
not_RB,42
n't_RB,41
just_RB,39
do_VVP,30
black_JJ,20
so_RB,19
America_NP,17
people_NNS,17
time_NN,15
change_NN,14
do_VVD,14
get_VVN,14
many_JJ,14
more_JJR,14
world_NN,14
year_NNS,14
here_RB,13
do_VV,12
folk_NNS,12
go_VVG,11
now_RB,11
percent_NN,11
still_RB,11
today_NN,11
too_RB,11
as_RB,10
Howard_NP,10
life_NN,10
own_JJ,10
good_JJ,9
good_JJR,9
need_VVP,9
then_RB,9
Americans_NPS,8
class_NN,8
college_NN,8
country_NN,8
even_RB,8
first_JJ,8
get_VV,8
make_VV,8
require_VVZ,8
story_NN,8
well_RBR,8
young_JJ,8
about_RB,7
all_RB,7
Ciearra_NP,7
know_VV,7
know_VVD,7
let_VV,7
only_RB,7
police_NN,7
rate_NN,7
vote_VV,7
want_VVP,7
white_JJ,7
challenge_NNS,6
choose_VV,6
day_NN,6
democracy_NN,6
get_VVD,6
go_VV,6
graduate_VVD,6
justice_NN,6
know_VVP,6
more_RBR,6
never_RB,6
new_JJ,6
other_JJ,6
right_RB,6
thing_NN,6
think_VV,6
way_NN,6
well_RB,6
African_JJ,5
big_JJ,5
family_NN,5
grandparent_NNS,5
make_VVN,5
Marshall_NP,5
part_NN,5
sense_NN,5
something_NN,5
take_VV,5
tell_VVP,5
thing_NNS,5
work_NN,5
almost_RB,4
also_RB,4
American_JJ,4
back_RB,4
Black_NP,4
change_NNS,4
come_VVD,4
come_VVP,4
complicated_JJ,4
different_JJ,4
ever_RB,4
fair_JJ,4
gap_NN,4
God_NP,4
graduate_VVG,4
great_JJ,4
home_NN,4
idea_NNS,4
last_JJ,4
law_NN,4
make_VVD,4
nearly_RB,4
power_NN,4
President_NP,4
progress_NN,4
say_VV,4
start_VV,4
state_NN,4
think_VVP,4
Thurgood_NP,4
try_VVG,4
turn_VVD,4
work_VVG,4
year_NN,4
accountable_JJ,3
Act_NP,3
always_RB,3
awareness_NN,3
boy_NNS,3
change_VVN,3
city_NN,3
city_NNS,3
come_VVN,3
community_NNS,3
confidence_NN,3
confident_JJ,3
Congress_NP,3
deal_VV,3
difference_NN,3
do_VVG,3
do_VVZ,3
down_RB,3
economic_JJ,3
election_NN,3
enough_RB,3
equality_NN,3
faith_NN,3
fan_NNS,3
find_VV,3
freedom_NN,3
friend_NNS,3
gender_NN,3
generation_NN,3
girl_NNS,3
give_VV,3
give_VVZ,3
half_NN,3
happen_VVZ,3
help_VVD,3
history_NN,3
injustice_NN,3
leader_NNS,3
less_JJR,3
line_NN,3
lucky_JJ,3
man_NN,3
man_NNS,3
member_NN,3
much_RB,3
night_NN,3
nothing_NN,3
old_JJ,3
once_RB,3
participate_VV,3
particular_JJ,3
passion_NN,3
person_NN,3
point_NN,3
poor_JJ,3
racism_NN,3
rate_NNS,3
remember_VVP,3
rest_NN,3
right_NNS,3
Rights_NPS,3
same_JJ,3
school_NN,3
second_JJ,3
see_VVN,3
set_VVD,3
single_JJ,3
sometimes_RB,3
stage_NN,3
strategy_NN,3
talk_VV,3
true_JJ,3
try_VV,3
unemployment_NN,3
up_RB,3
vision_NN,3
vote_NN,3
vote_NNS,3
voting_NN,3
woman_NNS,3
work_VV,3
21st_JJ,2
achievement_NN,2
action_NN,2
activist_NNS,2
age_NN,2
ago_RB,2
ahead_RB,2
already_RB,2
anger_NN,2
ask_VVG,2
attorney_NN,2
auto_NN,2
bad_JJR,2
barrier_NNS,2
bear_VVN,2
bias_NNS,2
bill_NNS,2
black_NNS,2
blackness_NN,2
bless_VVP,2
Board_NP,2
bring_VV,2
Brittany_NP,2
brother_NNS,2
build_VVD,2
care_NN,2
care_VVP,2
case_NNS,2
cause_NN,2
CEO_NNS,2
certain_JJ,2
challenge_VV,2
change_VV,2
change_VVP,2
civil_JJ,2
Civil_NP,2
collective_JJ,2
come_VV,2
community_NN,2
completely_RB,2
compromise_VV,2
congratulation_NNS,2
controversial_JJ,2
cotton_NN,2
Court_NP,2
create_VV,2
crime_NN,2
criminal_JJ,2
cut_VVN,2
Daddy_NP,2
debate_NN,2
degree_NNS,2
disagree_VVP,2
disease_NN,2
diverse_JJ,2
do_VVN,2
door_NN,2
dozen_NNS,2
effort_NN,2
elect_VV,2
eliminate_VV,2
else_RB,2
embrace_VV,2
end_NN,2
end_VVD,2
engage_VV,2
engage_VVD,2
enjoy_VV,2
example_NN,2
eye_NNS,2
face_VVN,2
feel_VV,2
fellow_JJ,2
few_JJ,2
first_NNS,2
foreign_JJ,2
free_JJ,2
generation_NNS,2
get_VVG,2
get_VVP,2
give_VVD,2
give_VVP,2
go_VVD,2
graduate_NNS,2
graduate_VV,2
grow_VVD,2
guy_NN,2
hard_JJ,2
hard_RB,2
high_JJ,2
house_NN,2
Houston_NP,2
ignorance_NN,2
Illinois_NP,2
journey_NN,2
keep_VV,2
King_NP,2
learn_VVN,2
least_JJS,2
listen_VV,2
listen_VVG,2
little_JJ,2
Lives_NP,2
long_JJ,2
long_JJR,2
longer_RBR,2
low_JJS,2
majority_NN,2
make_VVZ,2
matter_NN,2
Matter_NP,2
maybe_RB,2
mean_VVZ,2
meet_VV,2
Meridian_NP,2
mistake_NN,2
mom_NN,2
moment_NN,2
moral_JJ,2
most_JJS,2
movement_NN,2
nation_NN,2
number_NN,2
Office_NP,2
officer_NNS,2
only_JJ,2
out_RB,2
Oval_NP,2
own_VVZ,2
parent_NNS,2
participation_NN,2
pass_VV,2
pass_VVD,2
past_JJ,2
peace_NN,2
perfect_JJ,2
persist_VVZ,2
place_NN,2
plan_NN,2
political_JJ,2
politician_NN,2
politics_NNS,2
position_NN,2
possible_JJ,2
poverty_NN,2
Prince_NP,2
proud_JJ,2
provide_VV,2
purity_NN,2
put_VVZ,2
race_NN,2
racial_JJ,2
reach_VV,2
recommendation_NNS,2
repeat_VV,2
responsibility_NN,2
righteous_JJ,2
roll_VVD,2
rule_NN,2
rural_JJ,2
say_VVG,2
say_VVP,2
seem_VV,2
settle_VV,2
shape_VV,2
shut_VV,2
simple_JJ,2
sister_NNS,2
sit_VVD,2
sleeve_NNS,2
slow_JJ,2
society_NN,2
someone_NN,2
speech_NN,2
spirit_NN,2
staff_NN,2
stand_VV,2
States_NPS,2
stop_VV,2
strong_JJR,2
struggle_VVG,2
successful_JJ,2
Supreme_NP,2
system_NN,2
take_VVD,2
take_VVG,2
time_NNS,2
tool_NNS,2
training_NN,2
truth_NN,2
ultimately_RB,2
uncle_NNS,2
understand_VVD,2
understand_VVP,2
United_NP,2
use_VV,2
very_RB,2
Voting_NP,2
walk_VVD,2
week_NN,2
woman_NN,2
work_VVD,2
work_VVN,2
write_VV,2
wrong_JJ,2
A._NP,1
absolutely_RB,1
acceptance_NN,1
access_NN,1
accomplish_VVN,1
accountability_NN,1
acre_NNS,1
activism_NN,1
activity_NNS,1
address_NN,1
adopt_VVN,1
advance_JJ,1
advanced_JJ,1
advantage_NNS,1
advertise_VVG,1
advice_NN,1
affair_NNS,1
African-_JJ,1
African_NP,1
agent_NN,1
agree_VV,1
allow_VVZ,1
ally_NNS,1
alone_RB,1
alternative_NN,1
alum_NN,1
alumnus_NNS,1
ambition_NN,1
Annex_NP,1
anymore_RB,1
apartheid_NN,1
applause_NN,1
apple_NNS,1
appoint_VVZ,1
area_NN,1
argument_NN,1
arrive_VVD,1
artist_NNS,1
ask_VV,1
assembly_NN,1
asunder_RB,1
attitude_NN,1
attitude_NNS,1
audience_NN,1
aunt_NNS,1
authenticity_NN,1
avoid_VV,1
Award_NP,1
bachelor_NN,1
bad_JJ,1
Baldwin_NP,1
ballot_NN,1
Baltimore_NP,1
bankruptcy_NN,1
bar_NN,1
bar_NNS,1
barely_RB,1
barrier_NN,1
basketball_NN,1
battlefield_NN,1
beat_VV,1
beautiful_JJ,1
beauty_NN,1
become_VVG,1
begin_VV,1
beginning_NN,1
Belfast_NP,1
believe_VVG,1
bend_VV,1
Berlin_NP,1
better_NN,1
Beyonce_NP,1
big_JJR,1
bill_NN,1
billion_NN,1
bind_VV,1
Birmingham_NP,1
Bison_NP,1
Black_JJ,1
bleed_VVD,1
bless_VVN,1
block_VVN,1
blow_VVD,1
board_NN,1
boisterous_JJ,1
bombing_NNS,1
book_NN,1
Book_NP,1
bounce_VVD,1
boy_NN,1
bring_VVG,1
bring_VVP,1
Brown_NP,1
bubble_NNS,1
Bull_NP,1
Bureau_NP,1
business_NN,1
busy_JJ,1
button_NN,1
C._NP,1
call_NN,1
call_VV,1
call_VVN,1
Campaign_NP,1
campus_NN,1
capital_NN,1
Carver_NP,1
cast_VV,1
category_NNS,1
Celtic_NNS,1
centerpiece_NN,1
central_JJ,1
century_NN,1
century_NNS,1
Century_NP,1
challenge_VVG,1
chance_NN,1
change_VVZ,1
Charles_NP,1
cheat_VVP,1
cheer_VVD,1
chief_NN,1
chief_NNS,1
child_NN,1
childhood_NN,1
chorus_NN,1
citizen_NNS,1
City_NP,1
clarion_JJ,1
class_NNS,1
clean_VVN,1
climate_NN,1
clock_NN,1
clothes_NNS,1
club_NNS,1
Coates_NP,1
college_NNS,1
come_VVZ,1
committed_JJ,1
company_NN,1
company_NNS,1
competition_NN,1
complacency_NN,1
complicate_VVN,1
compromise_NN,1
computer_NN,1
confession_NNS,1
confine_VVN,1
conflict_NN,1
consensus_NN,1
consolidate_VV,1
constraint_NNS,1
contingent_NN,1
Convention_NP,1
converge_VVG,1
cool_JJ,1
cooperation_NN,1
cop_VVZ,1
core_JJ,1
councilman_NN,1
counterculture_NN,1
countless_JJ,1
country_NNS,1
couple_NN,1
courageous_JJ,1
cousin_NNS,1
craft_VVD,1
create_VVD,1
credit_NNS,1
creed_NN,1
crisis_NN,1
cross_VVD,1
Crow_NP,1
cry_NN,1
crystal_NN,1
cultural_JJ,1
culture_NN,1
cure_NN,1
current_JJ,1
Curtain_NP,1
custom_NN,1
cynic_NNS,1
cynicism_NN,1
D._NP,1
dad_NNS,1
daughter_NN,1
daughter_NNS,1
day_NNS,1
dealer_NN,1
decade_NN,1
decade_NNS,1
decide_VVD,1
define_VVN,1
degree_NN,1
deliver_VV,1
demand_VVG,1
democracy_NNS,1
Democrat_NP,1
Democratic_NP,1
deny_VV,1
deserve_VVP,1
design_VVN,1
despair_NN,1
despair_VV,1
destiny_NN,1
deterioration_NN,1
determine_VVN,1
Detroit_NP,1
difficult_JJ,1
direction_NN,1
disagree_VV,1
discipline_NN,1
discover_VVD,1
discussion_NN,1
disenfranchise_VV,1
disinvite_NN,1
dismantle_VVD,1
dispute_NNS,1
disrupt_VV,1
disservice_NN,1
district_NN,1
document_NN,1
downward_JJ,1
dozen_NN,1
Dr._NP,1
draw_VVD,1
dream_NN,1
dream_NNS,1
dress_VVP,1
dropout_NN,1
duty_NN,1
earlier_RBR,1
early_RB,1
earn_VV,1
earn_VVG,1
earn_VVZ,1
Earth_NP,1
easy_JJ,1
economy_NN,1
education_NN,1
Education_NP,1
elderly_JJ,1
elect_VVG,1
elect_VVN,1
emancipation_NN,1
Emancipation_NP,1
empathize_VV,1
endure_VVN,1
