,Freq
gift_NNS,10
n't_RB,10
life_NN,8
choice_NNS,7
follow_VV,6
grandmother_NN,6
not_RB,6
year_NNS,6
car_NN,5
grandfather_NN,5
number_NN,5
do_VV,4
do_VVD,4
do_VVP,4
grandparent_NNS,4
idea_NN,4
minute_NNS,4
so_RB,4
very_RB,4
Airstream_NP,3
also_RB,3
choice_NN,3
clever_JJ,3
go_VV,3
good_JJ,3
make_VV,3
many_JJ,3
old_JJ,3
puff_NN,3
really_RB,3
say_VVD,3
smart_JJ,3
tell_VVD,3
trailer_NN,3
want_VVD,3
year_NN,3
ad_NN,2
admission_NN,2
always_RB,2
apologize_VV,2
arithmetic_NN,2
atom_NN,2
bit_NN,2
boss_NN,2
brain_NN,2
cigarette_NN,2
cleverness_NN,2
come_VV,2
come_VVD,2
day_NNS,2
decide_VVD,2
decision_NN,2
drive_VVG,2
estimate_NNS,2
estimate_VVD,2
even_RB,2
expect_VVD,2
get_VVD,2
gift_NN,2
give_VV,2
group_NN,2
inventor_NN,2
Jeff_NP,2
job_NN,2
just_RB,2
look_VVD,2
MacKenzie_NP,2
make_VVN,2
maybe_RB,2
most_JJS,2
most_RBS,2
never_RB,2
only_RB,2
other_JJ,2
out_RB,2
passion_NN,2
pride_NN,2
probably_RB,2
quiet_JJ,2
safe_JJ,2
seat_NN,2
see_VVN,2
sense_NN,2
shoulder_NN,2
silence_NN,2
sit_VVD,2
start_VV,2
story_NN,2
summer_NNS,2
take_VV,2
take_VVD,2
think_VV,2
trip_NNS,2
understand_VV,2
use_VV,2
want_VVN,2
work_VV,2
about_RB,1
act_VV,1
admire_VVD,1
adventure_NN,1
adventurer_NNS,1
afternoon_NN,1
age_NN,1
age_NNS,1
ago_RB,1
alarm_NNS,1
alive_JJ,1
already_RB,1
Amazon_NP,1
anything_NN,1
applaud_VVN,1
ask_VV,1
assemble_VV,1
astonish_VV,1
author_NN,1
automatic_JJ,1
back_NN,1
back_RB,1
backseat_NN,1
baking-pan_NN,1
basically_RB,1
begin_VVZ,1
believe_VVP,1
belong_VVD,1
bench_NN,1
big_JJ,1
bluff_VV,1
book_NNS,1
bookstore_NN,1
boy_NN,1
brilliant_JJ,1
build_VV,1
build_VVG,1
builder_NN,1
bunch_NN,1
burst_NN,1
calculate_VV,1
calmly_RB,1
campaign_NN,1
Canada_NP,1
capable_JJ,1
caravan_NN,1
Caravan_NP,1
careful_JJ,1
carefully_RB,1
case_NN,1
cattle_NNS,1
cell_NN,1
cement-filled_JJ,1
Central_NP,1
choose_VV,1
chore_NNS,1
cigarette_NNS,1
City_NP,1
civilization_NN,1
clean_JJ,1
closer_RBR,1
Club_NP,1
come_VVG,1
come_VVZ,1
compact_JJ,1
company_NN,1
competitive_JJ,1
confident_JJ,1
consequence_NNS,1
consideration_NN,1
conviction_NNS,1
convince_VVD,1
cooker_NN,1
crazy_JJ,1
criticism_NN,1
cry_VVG,1
curious_JJ,1
cynic_NN,1
day_NN,1
dean_NN,1
detail_NNS,1
detriment_NN,1
difference_NN,1
difficult_JJ,1
division_NN,1
dogma_NN,1
door_NN,1
ease_NN,1
easy_JJ,1
end_NN,1
energy_NN,1
engineer_VV,1
enter_VV,1
entrap_VV,1
especially_RB,1
exciting_JJ,1
excuse_NN,1
exist_VV,1
expense_NN,1
experience_NN,1
extraordinary_JJ,1
fact_NN,1
fail_VVG,1
fall_VVP,1
fast_RB,1
few_JJ,1
figure_NN,1
figure_VV,1
final_JJ,1
finally_RB,1
financial_JJ,1
firm_NN,1
first_JJ,1
fix_NN,1
forward_RB,1
front_NN,1
Galileo_NP,1
garage_NN,1
gas_NN,1
gate_NN,1
gauge_VV,1
generate_VV,1
gently_RB,1
get_VVP,1
give_VVN,1
go_VVD,1
good_JJR,1
grad_NN,1
great_JJ,1
grocery_NN,1
grow_VVD,1
grow_VVG,1
guard_VV,1
guide_NN,1
handy_JJ,1
happen_VV,1
happen_VVD,1
happen_VVN,1
