,Freq
not_RB,22
day_NN,16
life_NN,15
so_RB,14
thing_NNS,12
today_NN,12
Dave_NP,11
day_NNS,10
do_VV,10
n't_RB,10
here_RB,9
many_JJ,9
Berkeley_NP,8
do_VVP,8
just_RB,8
P_NN,8
always_RB,7
death_NN,7
first_JJ,7
grateful_JJ,7
loss_NN,7
time_NN,7
child_NNS,6
family_NN,6
get_VVD,6
joy_NN,6
learn_VVD,6
now_RB,6
really_RB,6
something_NN,6
then_RB,6
year_NN,6
ability_NN,5
back_RB,5
build_VV,5
do_VVD,5
eleven_NN,5
everything_NN,5
friend_NNS,5
gratitude_NN,5
happen_VVZ,5
hard_JJ,5
job_NN,5
never_RB,5
resilience_NN,5
say_VVD,5
take_VV,5
time_NNS,5
actually_RB,4
die_VVD,4
even_RB,4
feel_VVP,4
friend_NN,4
go_VVD,4
live_VV,4
matter_NN,4
moment_NN,4
moment_NNS,4
often_RB,4
other_JJ,4
pain_NN,4
parent_NNS,4
people_NNS,4
personalization_NN,4
single_JJ,4
step_NN,4
still_RB,4
tell_VV,4
want_VVP,4
woman_NNS,4
year_NNS,4
about_RB,3
ago_RB,3
ahead_RB,3
all_RB,3
anxious_JJ,3
B._NP,3
belief_NN,3
break_VVD,3
celebrate_VV,3
class_NN,3
college_NN,3
deep_JJ,3
especially_RB,3
everyone_NN,3
Facebook_NP,3
feeling_NNS,3
find_VV,3
go_VV,3
go_VVP,3
grief_NN,3
help_VV,3
help_VVD,3
hope_VVP,3
kick_VV,3
know_VVD,3
know_VVP,3
last_JJ,3
learn_VV,3
leave_VVD,3
lesson_NNS,3
love_NN,3
make_VV,3
mean_VVP,3
need_VVP,3
only_RB,3
option_NN,3
party_NN,3
permanence_NN,3
pervasiveness_NN,3
precious_JJ,3
relationship_NNS,3
sad_JJ,3
sadness_NN,3
school_NN,3
second_NN,3
sit_VVG,3
someone_NN,3
sometimes_RB,3
thank_VV,3
there_RB,3
think_VVD,3
think_VVP,3
try_VV,3
use_VVD,3
very_RB,3
way_NN,3
wish_VVP,3
work_VV,3
A_NP,2
adversity_NN,2
already_RB,2
also_RB,2
answer_NN,2
arrhythmia_NN,2
as_RB,2
ask_VV,2
awful_JJ,2
bad_JJR,2
believe_VV,2
birthday_NN,2
blessing_NNS,2
boyfriend_NNS,2
break_VVN,2
breathe_VV,2
brief_JJ,2
campus_NN,2
cardiac_JJ,2
come_VVD,2
common_JJ,2
congratulation_NNS,2
cry_VVG,2
deep_JJR,2
degree_NN,2
different_JJ,2
disappointment_NN,2
draw_VV,2
easy_JJ,2
ever_RB,2
experience_VVN,2
face_NN,2
few_JJ,2
financial_JJ,2
find_VVD,2
find_VVP,2
fix_VVN,2
floor_NN,2
forever_RB,2
get_VV,2
get_VVP,2
go_VVG,2
go_VVZ,2
good_JJ,2
good_JJR,2
good_JJS,2
happen_VV,2
hardship_NN,2
healthy_JJ,2
heart_NN,2
hip_NN,2
home_RB,2
honest_JJ,2
hope_NN,2
huge_JJ,2
husband_NN,2
immune_JJ,2
know_VV,2
know_VVN,2
last_VV,2
learn_VVN,2
leave_VVP,2
let_VV,2
life_NNS,2
list_VV,2
live_VVP,2
long_JJ,2
meaning_NN,2
member_NNS,2
month_NNS,2
more_JJR,2
much_JJ,2
negative_JJ,2
next_JJ,2
night_NN,2
OK_JJ,2
one_NNS,2
open_VVD,2
opportunity_NN,2
Phil_NP,2
photo_NNS,2
place_NN,2
psychologist_NN,2
question_NN,2
quite_RB,2
recover_VV,2
remember_VVP,2
resilient_JJ,2
right_RB,2
Roz_NP,2
second_JJ,2
see_VVP,2
shit_NN,2
sleep_VV,2
speak_VVD,2
stand_VVP,2
strong_JJR,2
sudden_JJ,2
system_NN,2
take_VVD,2
take_VVG,2
take_VVP,2
take_VVZ,2
talk_VVG,2
teacher_NNS,2
tear_NNS,2
tell_VVP,2
terrible_JJ,2
think_VV,2
tragedy_NN,2
turn_VVZ,2
understanding_NN,2
up_RB,2
very_JJ,2
void_NN,2
walk_VVD,2
want_VVD,2
winner_NNS,2
wisdom_NN,2
work_NN,2
world_NN,2
youth_NN,2
1960s_NNS,1
A-_NP,1
absolutely_RB,1
accept_VV,1
accept_VVD,1
accident_NN,1
accomplish_VVN,1
achieve_VVP,1
achievement_NN,1
activity_NN,1
Adam_NP,1
address_NN,1
adjusted_JJ,1
advice_NN,1
affect_VV,1
afterward_RB,1
again_RB,1
age_NN,1
air_NN,1
alive_JJ,1
all-consuming_JJ,1
allow_VV,1
allow_VVZ,1
alma_NN,1
almost_RB,1
amount_NN,1
anchor_VVN,1
anniversary_NN,1
anxiety_NN,1
anyone_NN,1
anything_NN,1
apply_VVD,1
appreciation_NN,1
area_NNS,1
arm_NN,1
artery_NN,1
ask_VVD,1
ask_VVG,1
asleep_RB,1
astronaut_NNS,1
available_JJ,1
Award_NP,1
award_VV,1
aware_JJ,1
awesome_JJ,1
B_NN,1
back_NN,1
bad_JJS,1
bathroom_NN,1
bear_NNS,1
bear_VVN,1
Bears_NPS,1
beat_VVG,1
beautiful_JJ,1
beautifully_RB,1
become_VV,1
become_VVD,1
bed_VV,1
beginning_NN,1
believe_VVD,1
believe_VVP,1
Berkeley_NN,1
birthday_NNS,1
bit_NN,1
blame_VV,1
blow_NN,1
blow_VV,1
Board_NP,1
boardinghouse_NN,1
boardroom_NN,1
body_NNS,1
book_NNS,1
boss_NN,1
bother_VVD,1
bottom_NN,1
bounce_VVP,1
boy_NNS,1
brain_NNS,1
break_VV,1
breath_NN,1
Brooklyn_NP,1
brutality_NN,1
Cal_NP,1
cap_NN,1
cap_NNS,1
capable_JJ,1
care_VV,1
career_NNS,1
carry_VVD,1
casket_NN,1
catch_VV,1
celebrate_VVP,1
celebration_NN,1
certainly_RB,1
challenge_NN,1
challenge_NNS,1
challenge_VVP,1
change_VVD,1
change_VVN,1
change_VVZ,1
cheer_VVD,1
cheerful_JJ,1
Cheese_NP,1
child_NN,1
choose_VV,1
class_NNS,1
come_VVP,1
come_VVZ,1
comfort_NN,1
commencement_NN,1
community_NNS,1
completely_RB,1
congratulations_NN,1
Congress_NP,1
connection_NNS,1
consequence_NNS,1
constrict_VVZ,1
convince_VVN,1
core_NN,1
coronary_JJ,1
count_VVG,1
counterintuitive_JJ,1
course_NN,1
critical_JJ,1
crush_VVG,1
cry_VV,1
cry_VVD,1
current_JJ,1
cut_VVD,1
dance_NN,1
data_NN,1
datum_NNS,1
days._NP,1
deal_VVP,1
dear_RB,1
decade_NNS,1
deep_RB,1
define_VVN,1
