,Freq
n't_RB,19
so_RB,16
life_NN,15
college_NN,12
do_VVD,11
do_VVP,10
Apple_NP,9
very_RB,9
year_NNS,9
do_VV,8
just_RB,8
never_RB,8
later_RBR,7
look_VVG,7
month_NNS,7
about_RB,6
all_RB,6
death_NN,6
everything_NN,6
first_JJ,6
great_JJ,6
now_RB,6
Stay_NP,6
then_RB,6
as_RB,5
company_NN,5
decide_VVD,5
drop_VVN,5
ever_RB,5
few_JJ,5
good_JJS,5
most_RBS,5
not_RB,5
parent_NNS,5
something_NN,5
start_VVD,5
way_NN,5
computer_NN,4
connect_VV,4
course_NN,4
die_VV,4
dot_NNS,4
even_RB,4
fire_VVN,4
get_VV,4
go_VV,4
go_VVG,4
heart_NN,4
know_VV,4
love_VVD,4
today_NN,4
want_VVP,4
work_NN,4
almost_RB,3
become_VV,3
calligraphy_NN,3
cancer_NN,3
close_JJS,3
day_NN,3
final_JJ,3
find_VVD,3
Foolish_NP,3
get_VVD,3
go_VVD,3
Hungry_NP,3
important_JJ,3
last_JJ,3
let_VV,3
love_NN,3
Mac_NP,3
make_VV,3
mean_VVZ,3
morning_NN,3
mother_NN,3
name_VVN,3
NeXT_NN,3
only_JJ,3
only_RB,3
pancreas_NN,3
personal_JJ,3
really_RB,3
someday_RB,3
story_NN,3
sure_JJ,3
tell_VV,3
think_VVD,3
time_NN,3
truly_RB,3
trust_VV,3
turn_VVD,3
typography_NN,3
wife_NN,3
world_NN,3
year_NN,3
adopt_VVN,2
adoption_NN,2
again_RB,2
already_RB,2
amazing_JJ,2
away_RB,2
back_RB,2
backward_RB,2
beautiful_JJ,2
begin_VV,2
begin_VVD,2
big_JJ,2
biological_JJ,2
bit_NN,2
Catalog_NP,2
cell_NNS,2
certainly_RB,2
class_NN,2
class_NNS,2
College_NP,2
come_VVD,2
computer_NNS,2
country_NN,2
doctor_NN,2
doctor_NNS,2
drop_VV,2
drop_VVD,2
Earth_NP,2
else_RB,2
entire_JJ,2
event_NNS,2
failure_NN,2
family_NN,2
feel_VVD,2
find_VV,2
find_VVP,2
fine_JJS,2
follow_VV,2
form_NN,2
forward_RB,2
future_NN,2
garage_NN,2
generation_NN,2
get_VVN,2
good_JJR,2
Google_NP,2
graduate_VVN,2
happen_VVN,2
help_VV,2
here_RB,2
idea_NN,2
intuition_NN,2
issue_NN,2
keep_VV,2
know_VVP,2
Life_NP,2
